date;fajr;dhuhr;asr;maghrib;isha
2027-01-01;06:26;12:35;14:34;16:52;18:37
2027-01-02;06:26;12:36;14:35;16:53;18:38
2027-01-03;06:26;12:36;14:36;16:54;18:39
2027-01-04;06:26;12:37;14:37;16:55;18:40
2027-01-05;06:26;12:37;14:38;16:56;18:40
2027-01-06;06:26;12:38;14:39;16:57;18:41
2027-01-07;06:26;12:38;14:40;16:58;18:42
2027-01-08;06:26;12:39;14:41;16:59;18:43
2027-01-09;06:26;12:39;14:42;17:00;18:44
2027-01-10;06:26;12:39;14:43;17:02;18:45
2027-01-11;06:26;12:40;14:44;17:03;18:46
2027-01-12;06:25;12:40;14:46;17:04;18:48
2027-01-13;06:25;12:41;14:47;17:05;18:49
2027-01-14;06:25;12:41;14:48;17:07;18:50
2027-01-15;06:24;12:41;14:49;17:08;18:51
2027-01-16;06:24;12:42;14:50;17:09;18:52
2027-01-17;06:23;12:42;14:51;17:11;18:53
2027-01-18;06:23;12:42;14:53;17:12;18:54
2027-01-19;06:22;12:43;14:54;17:13;18:56
2027-01-20;06:22;12:43;14:55;17:15;18:57
2027-01-21;06:21;12:43;14:56;17:16;18:58
2027-01-22;06:20;12:44;14:58;17:18;18:59
2027-01-23;06:20;12:44;14:59;17:19;19:00
2027-01-24;06:19;12:44;15:00;17:21;19:02
2027-01-25;06:18;12:44;15:01;17:22;19:03
2027-01-26;06:17;12:44;15:03;17:24;19:04
2027-01-27;06:16;12:45;15:04;17:25;19:06
2027-01-28;06:16;12:45;15:05;17:27;19:07
2027-01-29;06:15;12:45;15:06;17:28;19:08
2027-01-30;06:14;12:45;15:08;17:30;19:09
2027-01-31;06:13;12:45;15:09;17:31;19:11
