# Les signalements relus et acceptés.
#
# Une ligne par cas : `chemin | RÈGLE | texte signalé`. La ligne du fichier n'y est pas, parce
# qu'elle bouge à chaque réécriture ; le triplet, lui, tient.
#
# **Pourquoi cette liste plutôt que des règles coupées.** Couper `ACCORD_SUJET_VERBE` laisserait
# passer un vrai désaccord ailleurs. Ici la règle reste allumée : seuls les cas écrits ci-dessous
# sont acceptés, et un cas nouveau fait tomber la commande.
#
# Chacun a été lu dans son fichier avant d'entrer ici. Ils se rangent en six familles :
#
#   1. **Un bout de code au milieu d'une phrase.** Il est remplacé par le substitut « ceci », qui
#      est masculin singulier ; « les `package.json` ne contiennent » devient « ceci ne contiennent »,
#      et l'accord se plaint. Le texte, lui, est juste.
#   2. **Un tableau ou une maquette.** Une cellule n'est pas une phrase : « cases : français,
#      allemand » n'a ni sujet ni verbe.
#   3. **Une notation technique** : `-120..240`, `<=`, `webcal:`, un nom de colonne, un sigle.
#   4. **Un abrégé de jour ou de mois** : `Sa`, `mer`, `sab`, `min`. Ce sont les formes courtes des
#      écrans, et elles sont voulues.
#   5. **Un mot composé allemand** que le dictionnaire suisse ne porte pas : `Kalenderabo`,
#      `https-Adresse`. Ils sont corrects et compris.
#   6. **Une suggestion de vocalisation en arabe.** LanguageTool propose d'ajouter des diacritiques ;
#      les écrans publics n'en mettent pas, par choix (ADR 0007).
#
# Retirer une ligne d'ici, c'est redemander à la voir. Ajouter une ligne demande d'avoir lu le texte.


# CONTRIBUTING.md
CONTRIBUTING.md | D_N_E_OU_E | une pull

# apps/web/src/lib/FormulaireCours.svelte
apps/web/src/lib/FormulaireCours.svelte | FRENCH_WORD_REPEAT_RULE | Rythme Rythme
apps/web/src/lib/FormulaireCours.svelte | POINT | )

# apps/web/src/lib/i18n.ts
apps/web/src/lib/i18n.ts | ALLE | Alle
apps/web/src/lib/i18n.ts | ARABIC_COMMA_PARENTHESIS_WHITESPACE |  .
apps/web/src/lib/i18n.ts | ARABIC_QM_WHITESPACE |  .
apps/web/src/lib/i18n.ts | ARABIC_SC_WHITESPACE |  .
apps/web/src/lib/i18n.ts | AR_DIACRITICS_REPLACE | البرنامج
apps/web/src/lib/i18n.ts | AR_DIACRITICS_REPLACE | برنامج
apps/web/src/lib/i18n.ts | AR_HOMOPHONES_REPLACE | الخطبة
apps/web/src/lib/i18n.ts | AR_SIMPLE_REPLACE | الفترة
apps/web/src/lib/i18n.ts | DE_PHRASE_REPETITION | Kalender abonnieren Kalender abonnieren
apps/web/src/lib/i18n.ts | HUNSPELL_RULE_AR | Android
apps/web/src/lib/i18n.ts | HUNSPELL_RULE_AR | إث
apps/web/src/lib/i18n.ts | MORFOLOGIK_RULE_IT_IT | min
apps/web/src/lib/i18n.ts | POINT | Outlook
apps/web/src/lib/i18n.ts | SWISS_GERMAN_SPELLER_RULE | Kalenderabo
apps/web/src/lib/i18n.ts | SWISS_GERMAN_SPELLER_RULE | Sa
apps/web/src/lib/i18n.ts | SWISS_GERMAN_SPELLER_RULE | https-Adresse

# apps/web/src/lib/messages.ts
apps/web/src/lib/messages.ts | FR_REPEATEDWORDS_NORMALEMENT | normalement

# apps/web/src/lib/server/mail/messages.ts
apps/web/src/lib/server/mail/messages.ts | TIRET | --

# apps/web/src/routes/+layout.svelte
apps/web/src/routes/+layout.svelte | JOURS | Vendredi

# apps/web/src/routes/+page.svelte
apps/web/src/routes/+page.svelte | ACCORD_R_PERS_VERBE | couvrent
apps/web/src/routes/+page.svelte | ACCORD_R_PERS_VERBE | sont
apps/web/src/routes/+page.svelte | ETRE_VPPA_OU_ADJ | réglées
apps/web/src/routes/+page.svelte | OU_LEQUEL | où
apps/web/src/routes/+page.svelte | POINT | vu

# apps/web/src/routes/connexion/+page.svelte
apps/web/src/routes/connexion/+page.svelte | PRONOMS_PERSONNELS_MINUSCULE | ceci Vous

# apps/web/src/routes/deconnexion/+page.svelte
apps/web/src/routes/deconnexion/+page.svelte | PRONOMS_PERSONNELS_MINUSCULE | Déconnexion Vous

# apps/web/src/routes/prieres/+page.svelte
apps/web/src/routes/prieres/+page.svelte | ACCORD_V_PPA | refusées
apps/web/src/routes/prieres/+page.svelte | A_A_ACCENT2 | a
apps/web/src/routes/prieres/+page.svelte | ESPACE_APRES_POINT | ceci …et
apps/web/src/routes/prieres/+page.svelte | POINT | »
apps/web/src/routes/prieres/+page.svelte | POINTS_SUSPENSIONS_SPACE | ceci …
apps/web/src/routes/prieres/+page.svelte | VPPA_SUJET_INVERSE | servi

# apps/web/src/routes/vendredi/+page.svelte
apps/web/src/routes/vendredi/+page.svelte | ACCORD_SUJET_VERBE | remplacent

# apps/web/src/routes/widget/test/+page.svelte
apps/web/src/routes/widget/test/+page.svelte | OU_LEQUEL | où

# docs/adr/0001-licences.md
docs/adr/0001-licences.md | A_ACCENT_A | ceci à

# docs/adr/0002-architecture-monorepo.md
docs/adr/0002-architecture-monorepo.md | ACCORD_R_PERS_VERBE | contiennent
docs/adr/0002-architecture-monorepo.md | AGREEMENT_NUMERAL_PLURAL | compilé
docs/adr/0002-architecture-monorepo.md | A_ACCENT_A | ceci à

# docs/adr/0003-modele-de-recurrence.md
docs/adr/0003-modele-de-recurrence.md | ACCORD_SUJET_VERBE | porte
docs/adr/0003-modele-de-recurrence.md | AGREEMENT_POSTPONED_ADJ | interdit
docs/adr/0003-modele-de-recurrence.md | DATTE_DATE | dates
docs/adr/0003-modele-de-recurrence.md | ETRE_VPPA_OU_ADJ | incluse
docs/adr/0003-modele-de-recurrence.md | FR_REPEATEDWORDS_EXIGER | exigeant
docs/adr/0003-modele-de-recurrence.md | LA_LA2 | la
docs/adr/0003-modele-de-recurrence.md | POINTS_SUSPENSIONS_SPACE | lundi …

# docs/adr/0004-horaires-ancres-sur-une-priere.md
docs/adr/0004-horaires-ancres-sur-une-priere.md | ACCORD_SUJET_VERBE | dépendrait
docs/adr/0004-horaires-ancres-sur-une-priere.md | ANNEE_AN | jour de l'année
docs/adr/0004-horaires-ancres-sur-une-priere.md | DOUBLE_PUNCTUATION | ..
docs/adr/0004-horaires-ancres-sur-une-priere.md | SA_CA_SE | sa
docs/adr/0004-horaires-ancres-sur-une-priere.md | SON_SONT | son

# docs/adr/0005-widget.md
docs/adr/0005-widget.md | P_V_PAS | touche
docs/adr/0005-widget.md | TIRET | — n'

# docs/adr/0006-connexion-et-roles.md
docs/adr/0006-connexion-et-roles.md | DE_LE | de le

# docs/adr/0009-vie-privee.md
docs/adr/0009-vie-privee.md | J_N2 | vraie mot

# docs/adr/0012-dates-civiles-en-chaines.md
docs/adr/0012-dates-civiles-en-chaines.md | DEUX_POINTS_ESPACE | :
docs/adr/0012-dates-civiles-en-chaines.md | POINTS_SUSPENSIONS_SPACE | lundi …

# docs/adr/0013-isolation-par-rls-et-contexte-par-transaction.md
docs/adr/0013-isolation-par-rls-et-contexte-par-transaction.md | ACCORD_QUEL_QUE_SOIT | quelles que soient
docs/adr/0013-isolation-par-rls-et-contexte-par-transaction.md | ACCORD_R_PERS_VERBE | exigent
